variant,mode,real,user,sys,maxrss_kb
baseline,normal,0:00.15,0.14,0.00,22000
baseline,fast,0:00.14,0.13,0.00,21964
no-conditionals,normal,0:00.02,0.02,0.00,9340
no-conditionals,fast,0:00.02,0.02,0.00,9312
no-depschemas,normal,0:00.15,0.14,0.00,22076
no-depschemas,fast,0:00.14,0.13,0.00,22020
no-uneval,normal,0:00.15,0.14,0.00,21808
no-uneval,fast,0:00.14,0.13,0.00,22060
refs-only,normal,0:00.00,0.00,0.00,6828
refs-only,fast,0:00.00,0.00,0.00,6692
only-allof,normal,0:00.02,0.02,0.00,9648
only-allof,fast,0:00.02,0.02,0.00,9216
no-anyof,normal,0:00.15,0.14,0.00,21912
no-anyof,fast,0:00.14,0.13,0.00,21868
no-oneof,normal,0:00.15,0.14,0.00,21984
no-oneof,fast,0:00.14,0.13,0.00,22032
no-allof,normal,0:00.00,0.00,0.00,6652
no-allof,fast,0:00.00,0.00,0.00,6640
conditionals-empty,normal,0:00.15,0.14,0.00,22052
conditionals-empty,fast,0:00.14,0.13,0.00,22028
no-refs-inside-conditionals,normal,0:00.15,0.14,0.00,22036
no-refs-inside-conditionals,fast,0:00.14,0.13,0.00,21896
no-conditional-keys,normal,0:00.15,0.14,0.00,21944
no-conditional-keys,fast,0:00.14,0.13,0.00,21992
