variant,mode,real,user,sys,maxrss_kb
baseline,normal,0:02.17,2.06,0.10,257068
baseline,fast,0:02.21,2.08,0.10,257128
no-conditionals,normal,0:00.02,0.02,0.00,8048
no-conditionals,fast,0:00.02,0.02,0.00,7996
no-depschemas,normal,0:02.22,2.12,0.09,257560
no-depschemas,fast,0:02.32,2.10,0.10,257208
no-uneval,normal,0:02.28,2.14,0.13,257128
no-uneval,fast,0:02.20,2.08,0.10,257176
refs-only,normal,0:00.00,0.00,0.00,6512
refs-only,fast,0:00.00,0.00,0.00,6572
only-allof,normal,0:00.02,0.02,0.00,8072
only-allof,fast,0:00.02,0.02,0.00,7988
no-anyof,normal,0:02.16,2.05,0.10,257356
no-anyof,fast,0:02.19,2.08,0.09,257128
no-oneof,normal,0:02.35,2.23,0.11,257048
no-oneof,fast,0:02.20,2.10,0.08,257356
no-allof,normal,0:00.00,0.00,0.00,6732
no-allof,fast,0:00.00,0.00,0.00,6512
conditionals-empty,normal,0:02.16,2.05,0.09,257316
conditionals-empty,fast,0:02.18,2.08,0.09,257532
no-refs-inside-conditionals,normal,0:02.18,2.08,0.09,257284
no-refs-inside-conditionals,fast,0:02.20,2.11,0.08,257496
no-conditional-keys,normal,0:02.17,2.07,0.09,257520
no-conditional-keys,fast,0:02.25,2.15,0.09,257496
