variant,mode,real,user,sys,maxrss_kb
baseline,normal,0:13.16,12.68,0.42,1034528
baseline,fast,0:14.58,14.08,0.43,1034480
no-conditionals,normal,0:00.05,0.05,0.00,10156
no-conditionals,fast,0:00.05,0.05,0.00,10376
no-depschemas,normal,0:13.43,12.93,0.44,1034632
no-depschemas,fast,0:14.76,14.26,0.43,1034732
no-uneval,normal,0:13.15,12.65,0.44,1034388
no-uneval,fast,0:14.49,13.97,0.46,1034544
refs-only,normal,0:00.01,0.01,0.00,6752
refs-only,fast,0:00.01,0.01,0.00,6956
only-allof,normal,0:00.05,0.05,0.00,9980
only-allof,fast,0:00.05,0.04,0.00,9980
no-anyof,normal,0:13.17,12.67,0.44,1034796
no-anyof,fast,0:14.50,14.01,0.43,1034860
no-oneof,normal,0:13.24,12.71,0.46,1034676
no-oneof,fast,0:14.50,14.00,0.44,1034572
no-allof,normal,0:00.01,0.01,0.00,6700
no-allof,fast,0:00.01,0.01,0.00,6956
conditionals-empty,normal,0:13.17,12.64,0.47,1034272
conditionals-empty,fast,0:14.45,13.94,0.45,1034588
no-refs-inside-conditionals,normal,0:13.21,12.69,0.46,1034288
no-refs-inside-conditionals,fast,0:14.73,14.22,0.45,1034856
no-conditional-keys,normal,0:13.15,12.64,0.45,1034812
no-conditional-keys,fast,0:14.47,13.95,0.46,1034612
